"presence","fold","bio01","bio04","bio12","bio15","forest","shrub","grass","wetland","crop","urban"
0,3,5.76996625421822,97.9501012373454,1196.24634420697,10,1,0,0,0,0,0
1,1,16.1328185328185,67.8936036036036,488.472329472329,81.5945945945946,0,0,1,0,0,0
0,1,12.86600249066,83.4812453300125,1058.26650062266,12,0,0,0,0,0,1
0,3,-1.83397849462366,112.048688172043,276.262365591398,39.9813620071685,1,0,0,0,0,0
0,1,17.1216783216783,71.5908251748252,1424.73706293706,18,1,0,0,0,0,0
0,3,-4.14090641553855,147.757092407298,311.484402589759,50.5756327251324,1,0,0,0,0,0
0,1,21.9,46.3662079062958,1247.11273792094,48,0,0,0,0,0,1
1,1,13.1744031830239,39.9474137931034,895.949602122016,87.6127320954907,1,0,0,0,0,0
0,2,-7.50324189526185,141.487497921862,412,45,0,0,0,0,0,0
0,2,8.55620985010707,56.2358029978587,2512.8704496788,68.9710920770878,1,0,0,0,0,0
0,2,22.1935294117647,44.8966470588235,1220.21470588235,49,0,0,0,0,0,1
0,2,6.2,113.250900621118,286.262939958592,70.8830227743271,0,0,0,0,1,0
1,2,17.9093663911846,48.8429338842975,276.28650137741,79.7520661157025,0,0,0,0,0,1
0,3,10.3995570321152,83.2992580287929,308.236987818383,37.6821705426357,0,0,0,0,1,0
1,2,17.221610738255,50.7800402684564,316.344966442953,83.3181208053691,0,0,0,0,0,1
0,3,19.307570977918,25.9898738170347,795.212933753943,84.2444794952681,1,0,0,0,0,0
0,3,10.4,83.311820199778,307.820199778024,37.7092119866815,0,0,0,0,1,0
0,3,5.88817567567568,98.196036036036,1177.54279279279,10,1,0,0,0,0,0
1,3,13.9376943005181,40.4675,762.738341968912,86.7059585492228,1,0,0,0,0,0
0,1,-4.14200743494424,115.392633209418,401.265799256506,66,0,1,0,0,0,0
0,3,10.4,83.2946298342542,291.806629834254,35.8375690607735,0,0,0,0,0,1
1,2,17.7882113821138,42.430027100271,272.056910569106,65.2791327913279,0,0,0,0,0,1
1,2,16.2347553324969,60.276035131744,489.084065244667,87.8356336260979,0,0,0,0,0,1
0,2,15.83568,20.419664,753.6176,96.0272,0,0,0,0,0,1
0,3,10.5,83.305383759733,320.349276974416,37.2925472747497,0,0,0,0,0,1
0,2,5.58261339092873,94.347019438445,1142.08531317495,12.0259179265659,1,0,0,0,0,0
0,3,10.1993377483444,83.2385540838852,326.700883002207,38.0629139072848,0,0,0,0,1,0
0,3,9.89469879518072,99.4425903614458,921.88313253012,28,0,0,0,0,0,1
0,2,19.6,62.0503552397869,1508.14742451155,28,0,0,0,0,0,1
1,2,8.4811320754717,37.1441509433962,2595.43396226415,41,1,0,0,0,0,0
0,3,12.0780669144981,99.6544609665428,865.291201982652,51,0,0,1,0,0,0
0,2,4.53326315789474,120.697957894737,447.622105263158,67,0,0,1,0,0,0
1,1,13.0448412698413,40.2946957671958,898.851851851852,87.1455026455027,1,0,0,0,0,0
0,2,16.1628352490421,61.4146232439336,588.315453384419,83.2745849297574,0,0,0,0,0,1
1,3,10.7101990049751,90.8128109452736,422.817164179104,26.9004975124378,0,0,0,0,0,1
0,2,11.8074683544304,85.2787974683544,975.546835443038,14,0,0,0,0,1,0
0,2,19.5229344729345,61.5975783475783,1537.95441595442,27.494301994302,0,0,0,1,0,0
0,1,5.37606093579978,99.274972796518,1072.10881392818,11,1,0,0,0,0,0
1,2,8.76634512325831,50.9504501607717,2459.00964630225,61.983922829582,1,0,0,0,0,0
0,3,9.8,100.203201911589,928.801672640382,28.7216248506571,0,0,0,0,0,1
1,1,12.8270618556701,39.2953350515464,900.20618556701,85.4149484536082,1,0,0,0,0,0
0,1,16.807074829932,69.1194965986395,1340.76734693878,31,1,0,0,0,0,0
0,2,21.1531571218796,48.1125697503671,1372.86196769457,45,0,0,0,0,0,1
