"presence","fold","bio08","bio09","bio16","bio17","forest","urban"
0,3,0.3,20.5125966850829,107.375690607735,35.4629834254144,0,0
0,3,0.4,20.5,115.108768035516,36,0,1
0,3,0.500889877641824,20.4010011123471,90.4282536151279,34.7030033370412,0,0
0,3,14.3589667458432,-12.3010688836105,139.067695961995,37.4661520190024,1,0
0,1,22.353670886076,0.877088607594937,307.240506329114,239.178481012658,0,1
0,2,30.5252066115702,24.4871900826446,92.4765840220386,20.4256198347107,0,1
1,1,25.4113602391629,15.1618834080717,308.113602391629,52.1106128550075,0,1
0,3,20.2988853503185,18.8,434.679936305732,24,0,0
1,2,13.4,21.8,126.579972183588,17.1543810848401,0,0
0,1,10.6,23.000988700565,458,280.25,0,0
0,1,20.1150473933649,-6.29964454976303,335.440758293839,71,0,1
1,2,8.09937965260546,23.4699751861042,606.741935483871,23.1104218362283,1,0
0,3,0.4,20.4764182424917,114.088987764182,36.5906562847609,0,1
1,1,9.51037613488975,16.1687418936446,391.05317769131,11.2204928664073,1,0
1,2,2.58379120879121,16.4443681318681,398.821428571429,24.2129120879121,1,0
0,1,15.5121794871795,11.3557692307692,515.192307692308,35.9871794871795,0,0
0,3,0.289700996677741,20.5589147286822,107.012181616833,35.0121816168328,0,0
1,3,9.8,22.9858560794045,144,70,0,1
0,2,17.1980104712042,-11.6706806282723,212.277486910995,30.7685863874345,0,0
0,2,9.45463756819953,-25.1,165,46,0,0
0,1,19.888424437299,20.9400321543408,932.540192926045,25.5128617363344,1,0
0,1,16.1797579757976,-11.3126512651265,313.2200220022,87,1,0
1,3,9.86905660377358,23.0431446540881,146.901886792453,70.9534591194969,0,0
0,1,13.0565299684543,-10.4046687697161,171,21.6977917981073,1,0
1,3,8.88050632911392,18.5313924050633,473.524050632911,11,0,1
1,2,6.53634336677815,12.9680044593088,999.671125975474,297.176142697882,0,0
0,1,13.0687737041719,-10.3537926675095,171.523388116308,21.6902654867257,1,0
1,2,3.75784946236559,16.1323655913979,1089.68387096774,161.075268817204,1,0
1,1,3.8579754601227,16.7853783231084,561.405930470348,133.328220858896,1,0
0,1,9.2756937799043,-4.40545454545455,193.392344497608,103.868899521531,1,0
0,2,-3.44148706896552,13.5029094827586,340.17025862069,257.523706896552,0,1
0,2,27.2428989751098,16.8185944363104,534.188872620791,168.670571010249,0,1
0,3,1.42310030395137,16.8739614994934,791.359675785208,122.103343465046,0,0
0,1,0.6,18.1479041916168,332.843113772455,265.123353293413,0,0
1,1,9.62305732484077,19.6965605095541,316.48152866242,5,0,1
1,3,8.30669291338583,24.0372703412073,163.219160104987,6.89632545931759,0,0
0,2,20.7,-5.07437125748503,321.081437125749,79.2574850299401,0,1
0,1,0.524851367419738,18.128418549346,333.643281807372,269.114149821641,0,1
0,1,11.9696929238985,23.7985313751669,170.659546061415,10,0,1
1,1,4.61266598569969,14.6567926455567,455.755873340143,68.167517875383,1,0
0,2,22.4,1.9,314,251,0,0
0,2,-5.01787564766839,6.60608808290155,176.65932642487,62.7357512953368,0,0
0,3,15.8758996728462,-9.4196292257361,299.196292257361,110.9760087241,0,0
0,1,0.8,18.4792019347038,323,255,0,0
0,1,23.8343989769821,1.8349104859335,299.580562659847,227.015345268542,0,1
0,2,17.7736842105263,12.9948963317384,441.618819776715,22.5645933014354,0,1
1,1,9.46282722513089,17.5596858638743,357.553664921466,9.37303664921466,0,1
0,3,22.1689655172414,-3.53281807372176,300.017835909631,143,0,1
0,2,27.3,17.0032400589102,529.385861561119,164.969072164948,0,1
1,3,9.85730198019802,23.0707920792079,143.490099009901,71,0,0
1,1,8.9002538071066,16.6677664974619,463.573604060914,13,1,0
1,1,9.41086092715232,18.1577483443709,360.098013245033,9.04105960264901,1,0
1,1,2.43307189542484,16.6283660130719,528.726797385621,25.5869281045752,1,0
1,3,9.38282442748092,22.157251908397,152.989821882952,71.6246819338423,0,1
0,1,21.1046599496222,1.12329974811083,302.646095717884,233.401763224181,0,1
0,3,0.3,20.4,114.356194690265,36,0,0
0,1,20.4405759162304,3.60183246073298,265.185863874346,74.9528795811518,0,0
1,1,8.85461638491547,24.6674902470741,270.172951885566,6.20676202860858,0,0
1,3,0.673614190687361,20.9372505543237,131.268292682927,37.790465631929,0,0
1,2,7.8936628643853,17.6089987325729,823.888466413181,28.5145754119138,1,0
0,1,-2.6653164556962,0.491898734177215,214.507594936709,146.841772151899,1,0
0,3,22.0854567307692,-3.59495192307692,300.581730769231,143,0,1
0,3,18.2948335246843,-4.45281285878301,304.671641791045,260.130884041332,1,0
1,3,8.12335570469799,24.0079194630872,255.479194630872,10.9181208053691,0,0
0,3,18.7232273838631,-3.22921760391198,337.68337408313,220.007334963325,1,0
0,3,9.42658914728682,-25.0844186046512,164,49,1,0
0,1,23.8,14.2511954992968,139.617440225035,22,0,0
0,2,20.7052443384982,-2.63909415971395,247,151,0,0
1,3,9.47693298969072,18.35,345.827319587629,7.75128865979381,0,1
0,2,18.0375478927203,-0.100510855683269,287.504469987229,208.34993614304,1,0
1,2,11.3138075313808,2.68933054393305,119.094142259414,67,0,0
0,1,26.3589285714286,25.4844155844156,1073.22077922078,122.5,1,0
0,1,27.1513157894737,16.3419590643275,522.976608187135,173.635964912281,0,1
1,1,5.57552631578947,20.8197368421053,430.722368421053,15.1065789473684,1,0
0,1,27.2727540500736,17.6229749631812,654.458026509573,171.416789396171,0,1
0,1,19.4138952164009,-7.08394077448747,340.331435079727,79.0193621867882,0,0
0,1,26.0970193740686,16.529955290611,323.065573770492,65.4456035767511,0,0
1,2,14.3266802443992,1.41761710794297,158.489816700611,98.3146639511201,0,0
0,1,9.7,22.7709677419355,432.625525946704,263.820476858345,0,0
0,3,18.4185761957731,-6.7,278.002224694105,200.79532814238,0,1
0,1,11.0209547427154,-11.1856788592684,206.233106013639,41.0489770613763,0,0
0,1,27.2026239067055,16.4397959183673,523.258017492711,172.98250728863,0,1
0,3,9.38100775193798,-25.3,164.317829457364,47.9790697674419,0,0
0,3,26.7816901408451,15.9651408450704,547.992957746479,293.098591549296,0,1
0,3,0.611504424778761,20.6817477876106,113.075221238938,37,0,1
1,1,8.2801282051282,20.7958974358974,339.958974358974,9,1,0
1,2,10.6829234972678,24.0510928961749,231.938524590164,14.0095628415301,0,1
0,3,24.3,10.4651282051282,367.930769230769,248.283333333333,0,0
0,3,10.3943130630631,-15.3690315315315,155.064189189189,40.276463963964,1,0
