"presence","fold","bio01","bio04","bio08","bio09","bio12","bio15","bio18","forest","shrub","grass","wetland","crop","urban"
0,3,7.22227674190383,77.6530814524043,-2.2360157016683,16.8976447497547,994.527968596664,56.3562315996075,115.638861629048,1,0,0,0,0,0
0,3,10.3063192904656,82.8373503325942,0.364966740576497,20.3981152993348,310.077605321508,37.5875831485588,41,0,0,0,0,0,1
0,3,10.3591814159292,83.2749336283186,0.349115044247788,20.4379424778761,306.91814159292,37.3838495575221,41,0,0,0,0,1,0
0,3,6.28285077951002,106.380590200445,18.2070155902004,-6.79922048997773,927.201559020044,13.7817371937639,266.04008908686,0,0,0,0,1,0
0,2,19.3076379066478,62.52342291372,26.9076379066478,19.9332390381895,1337.14427157001,23,397.46676096181,1,0,0,0,0,0
0,1,17.036703601108,71.6768282548477,9.13005540166205,22.3279778393352,1432.8864265928,17.9792243767313,333.353185595568,1,0,0,0,0,0
1,2,8.56627155172414,56.2043857758621,2.25840517241379,15.8428879310345,2515.72306034483,68.8426724137931,153.355603448276,1,0,0,0,0,0
0,2,5.9270182992465,84.2338643702906,14.5313240043057,-4.76318622174381,241.897739504844,66.8040904198062,105.449946178687,0,0,0,0,1,0
1,1,12.2248655913978,58.6487768817204,6.0255376344086,17.5915322580645,732.306451612903,78.866935483871,52.5241935483871,0,1,0,0,0,0
0,1,9.7,87.249406175772,0.8,18.4502375296912,1154.78147268409,9.38836104513064,262,0,0,0,1,0,0
1,2,16.7746971736205,49.6065410497981,11.5592193808883,23.0608344549125,373.874831763122,84.5343203230148,19.1911170928668,0,0,0,0,0,1
1,3,14.3519480519481,36.1136233766234,10.0166233766234,18.5488311688312,1060.48441558442,92.9051948051948,13.6662337662338,0,0,0,0,0,1
0,2,9.5,107.671409313725,20.5960784313726,-5.25649509803922,837.310049019608,46,321.263480392157,0,0,0,0,0,1
1,2,15.8163029525032,58.6817971758665,8.26251604621309,23.0124518613607,474.99486521181,89.3722721437741,5.93196405648267,0,0,0,0,0,1
1,3,13.2708549222798,26.8729663212435,10.1287564766839,16.2113989637306,660.775906735751,85.8380829015544,13.3717616580311,1,0,0,0,0,0
0,3,14.9633597883598,76.0240211640211,23.9378306878307,10.7633597883598,1184.01058201058,17,364.669312169312,0,0,0,0,0,1
0,1,12.8,84.8360969387755,23.5071428571429,1.64910714285714,1076.33290816327,12,302.669642857143,0,0,0,1,0,0
0,2,8.9,95.8665731707317,20.7753658536585,-2.6,821.981707317073,20,246.984146341463,0,0,0,0,0,1
0,3,10.5002219755827,83.3499889012209,0.6,20.7976692563818,320.347391786903,37.3407325194229,42.6359600443951,0,0,0,0,0,1
0,3,10.4738888888889,82.6333555555556,0.5,20.405,266.137777777778,32.1077777777778,40,0,0,0,0,1,0
1,2,11.0765033407572,33.5155902004454,7.49209354120267,15.2516703786192,1587.9565701559,70.6492204899777,78.6759465478842,1,0,0,0,0,0
0,1,4.02261251372119,111.123710208562,16.2290889132821,-11.2967069154775,816.497255762898,44.0493962678375,308.31613611416,1,0,0,0,0,0
0,2,22.2,44.0843740795287,27.3502209131075,17.2721649484536,1213.13402061856,48.1664212076583,518.027982326951,0,0,0,0,0,1
0,1,19,65.6352865329513,22.7246418338109,10.1471346704871,831.969914040115,30.0630372492837,209.836676217765,0,1,0,0,0,0
1,2,13.2368686868687,52.8730303030303,7.39002525252525,20.1987373737374,1143.77904040404,87.1414141414141,27.4090909090909,0,1,0,0,0,0
0,3,5.40967379077615,97.4112035995501,0.682452193475815,-6.34578177727784,1235.79752530934,10,319.670416197975,1,0,0,0,0,0
