"presence","fold","bio04","bio08","bio10","bio16","bio18","forest","shrub","grass","wetland","crop","urban"
0,3,97.9501012373454,0.980877390326209,17.9780652418448,333.590551181102,310.299212598425,1,0,0,0,0,0
1,1,67.8936036036036,9.13281853281853,24.9431145431145,248.11583011583,5.28700128700129,0,0,1,0,0,0
0,1,83.4812453300125,23.3702366127024,23.3702366127024,303.352428393524,303.352428393524,0,0,0,0,0,1
0,3,112.048688172043,10.9254480286738,11.8553405017921,108.853046594982,108.189964157706,1,0,0,0,0,0
0,1,71.5908251748252,9.22167832167832,26.0855944055944,437.451748251748,328.566433566434,1,0,0,0,0,0
0,3,147.757092407298,14.3224249558564,14.3224249558564,139.214243672749,139.214243672749,1,0,0,0,0,0
0,1,46.3662079062958,27.3,27.3,535.415812591508,535.415812591508,0,0,0,0,0,1
1,1,39.9474137931034,8.68395225464191,18.6159151193634,475.644562334217,15.920424403183,1,0,0,0,0,0
0,2,141.487497921862,9.49675810473815,9.79675810473815,165,156,0,0,0,0,0,0
0,2,56.2358029978587,2.24625267665953,15.9087794432548,1233.88758029979,152.886509635974,1,0,0,0,0,0
0,2,44.8966470588235,27.3904411764706,27.3935294117647,526.520588235294,525.902941176471,0,0,0,0,0,1
0,2,113.250900621118,17.6099378881988,20.2099378881988,149,134,0,0,0,0,1,0
1,2,48.8429338842975,12.7721763085399,24.5968319559229,149.679063360882,18.1790633608815,0,0,0,0,0,1
0,3,83.2992580287929,0.3,21.2088593576966,113.554817275748,41,0,0,0,0,1,0
1,2,50.7800402684564,11.8873825503356,24.2148993288591,173.422818791946,19.0671140939597,0,0,0,0,0,1
0,3,25.9898738170347,21.2020504731861,21.9883280757098,405.285488958991,234.891167192429,1,0,0,0,0,0
0,3,83.311820199778,0.339733629300777,21.2463928967814,113.110987791343,41,0,0,0,0,1,0
0,3,98.196036036036,1.09932432432432,18.1280405405405,328.154279279279,306.445945945946,1,0,0,0,0,0
1,3,40.4675,9.24028497409327,19.3186528497409,395.683937823834,15.3186528497409,1,0,0,0,0,0
0,1,115.392633209418,10.9122676579926,10.9122676579926,207.182156133829,207.182156133829,0,1,0,0,0,0
0,3,83.2946298342542,0.3,21.2932596685083,105.824309392265,40.2596685082873,0,0,0,0,0,1
